rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
1,Hof Löbke GmbH & Co. KG,48477,,4.7,4023,über 250,250,,300,6.94,4.443,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hof+L%C3%B6bke+GmbH+%26+Co.+KG/data=!4m7!3m6!1s0x47b9c4b2e492f0eb:0xeb971ed166d381c4!8m2!3d52.2750302!4d7.7703708!16s%2Fg%2F1td7mdn2!19sChIJ6_CS5LLEuUcRxIHTZtEel-s?authuser=0&hl=de&rclk=1
2,Bar dü Mar,49163,,4.7,3041,über 250,250,,300,8.98,4.368,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Bar+d%C3%BC+Mar/data=!4m7!3m6!1s0x47b75381457b576d:0xd673e173a0d7e205!8m2!3d52.4983181!4d8.3524646!16s%2Fg%2F11cmy4rdsj!19sChIJbVd7RYFTt0cRBeLXoHPhc9Y?authuser=0&hl=de&rclk=1
3,Café-Restaurant am Rubbenbruchsee,49074,,4.6,2068,über 250,250,,300,12.67,4.144,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Caf%C3%A9-Restaurant+am+Rubbenbruchsee/data=!4m7!3m6!1s0x47b9e667d2cd82bb:0xafd31ce8dbdda9e!8m2!3d52.2891679!4d7.9895349!16s%2Fg%2F1th866m9!19sChIJu4LN0mfmuUcRntq9jc4x_Qo?authuser=0&hl=de&rclk=1
4,M&C Döner Osnabrück,49074,,4.6,1353,über 250,250,,300,18.15,3.947,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/M%26C+D%C3%B6ner+Osnabr%C3%BCck/data=!4m7!3m6!1s0x47b9e590ecd4e83b:0xefbc8d0b8516e674!8m2!3d52.2718366!4d8.049709!16s%2Fg%2F1vgw_vpm!19sChIJO-jU7JDluUcRdOYWhQuNvO8?authuser=0&hl=de&rclk=1
5,Hong Bin II,48145,,4.6,1096,über 250,250,,300,21.49,3.826,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Hong+Bin+II/data=!4m7!3m6!1s0x47b9bb55e692a293:0x5a4511a65fcf0391!8m2!3d51.945!4d7.6927778!16s%2Fg%2F1tf_05fs!19sChIJk6KS5lW7uUcRkQPPX6YRRVo?authuser=0&hl=de&rclk=1
6,Eiscafé Toscani,49074,,4.4,868,über 250,250,,300,25.68,3.527,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Eiscaf%C3%A9+Toscani/data=!4m7!3m6!1s0x47b9e5914a9808c5:0xd1cd07722555945d!8m2!3d52.273645!4d8.046816!16s%2Fg%2F1tdhky5r!19sChIJxQiYSpHluUcRXZRVJXIHzdE?authuser=0&hl=de&rclk=1
7,Aroma Restaurant Ocakbasi Holzkohlegrill Osnabrück,49074,,4.6,851,über 250,250,,300,26.06,3.662,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Aroma+Restaurant+Ocakbasi+Holzkohlegrill+Osnabr%C3%BCck/data=!4m7!3m6!1s0x47b9e590f2a16501:0xf0418e667a8a501a!8m2!3d52.2716194!4d8.0494441!16s%2Fg%2F1th0xf_p!19sChIJAWWh8pDluUcRGlCKemaOQfA?authuser=0&hl=de&rclk=1
8,Route 68 Bockhorst,49196,,4.7,1643,201–250,201,250,225.5,12.07,4.253,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Route+68+Bockhorst/data=!4m7!3m6!1s0x47b98b4a8f7f6b03:0x148748dca92658f3!8m2!3d52.07393!4d8.20196!16s%2Fg%2F11bc744npm!19sChIJA2t_j0qLuUcR81gmqdxIhxQ?authuser=0&hl=de&rclk=1
9,Kakkoii Sushi Grill & Bar,49074,,4.5,1322,201–250,201,250,225.5,14.57,3.99,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Kakkoii+Sushi+Grill+%26+Bar/data=!4m7!3m6!1s0x47b9e5bd34820e09:0xc6efccccf5f7006b!8m2!3d52.2732271!4d8.047211!16s%2Fg%2F11k7yfs9l4!19sChIJCQ6CNL3luUcRawD39czM78Y?authuser=0&hl=de&rclk=1
10,Brücks,48480,,4.5,516,201–250,201,250,225.5,30.41,3.436,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Br%C3%BCcks/data=!4m7!3m6!1s0x47b9e59cdae7784f:0x1042bb215e475971!8m2!3d52.2683754!4d8.0598687!16s%2Fg%2F11dynw74vv!19sChIJT3jn2pzluUcRcVlHXiG7QhA?authuser=0&hl=de&rclk=1
